,Data,T1,T2,T3,T4,F1,F2,Empty1,Empty2
0,26/09/2022 20:39:59493800,30.6952,20.0568,20.1788,19.7396,217.198915,439,65535,65535
1,26/09/2022 20:40:00523400,29.5728,20.5448,20.8132,19.6664,229.233275,440,65535,65535
2,26/09/2022 20:40:01521800,28.1088,21.4232,21.594,19.6908,235.713315,445,65535,65535
3,26/09/2022 20:40:07496600,36.356,24.2292,24.4244,19.642,241.267635,437,65535,65535
4,26/09/2022 20:40:08526200,36.4048,24.7416,25.2052,19.6664,241.267635,439,65535,65535
5,26/09/2022 20:40:09524600,36.2584,25.4736,25.986,19.6664,242.193355,440,65535,65535
6,26/09/2022 20:40:10523000,36.234,25.9372,26.718,19.6908,243.119075,440,65535,65535
7,26/09/2022 20:40:11521400,36.0388,26.474,27.328,19.642,243.119075,434,65535,65535
8,26/09/2022 20:40:12519800,36.1608,27.0108,27.7916,19.6176,242.193355,437,65535,65535
9,26/09/2022 20:40:13533800,36.1608,27.206,28.3284,19.6664,240.341915,437,65535,65535
10,26/09/2022 20:40:14532200,36.1852,27.694,28.5968,19.642,240.341915,437,65535,65535
11,26/09/2022 20:40:15530600,36.1852,28.0112,28.8164,19.6176,241.267635,439,65535,65535
12,26/09/2022 20:40:16529000,36.1608,28.3528,29.2068,19.5688,240.341915,440,65535,65535
13,26/09/2022 20:40:17543000,36.2828,28.2308,29.524,19.642,240.341915,444,65535,65535
14,26/09/2022 20:40:18525800,36.2828,28.2308,29.646,19.642,242.193355,446,65535,65535
15,26/09/2022 20:40:19524200,36.356,28.182,29.8656,19.6176,242.193355,444,65535,65535
16,26/09/2022 20:40:20522600,36.2828,28.3528,30.0608,19.642,242.193355,444,65535,65535
17,26/09/2022 20:40:21521000,36.4048,28.5236,30.1584,19.6176,244.970515,445,65535,65535
18,26/09/2022 20:40:22535000,36.2828,28.4748,30.3536,19.642,243.119075,440,65535,65535
19,26/09/2022 20:40:23517800,36.2828,28.6456,30.4512,19.6664,242.193355,441,65535,65535
20,26/09/2022 20:40:24531800,36.2828,28.7188,30.4756,19.5688,241.267635,441,65535,65535
21,26/09/2022 20:40:25530200,36.2828,28.8408,30.622,19.642,238.490475,443,65535,65535
22,26/09/2022 20:40:26528600,36.2828,28.8896,30.7196,19.6908,240.341915,443,65535,65535
23,26/09/2022 20:40:27527000,36.3804,29.0848,30.7684,19.6908,241.267635,443,65535,65535
24,26/09/2022 20:40:28525400,36.356,29.4752,30.8172,19.6176,241.267635,440,65535,65535
25,26/09/2022 20:40:29523800,36.3072,29.3532,30.9636,19.6664,241.267635,441,65535,65535
26,26/09/2022 20:40:30522200,36.3804,29.2068,30.988,19.6176,241.267635,443,65535,65535
27,26/09/2022 20:40:31520600,36.356,29.4996,31.0368,19.6664,243.119075,441,65535,65535
28,26/09/2022 20:40:32519000,36.4292,29.3532,31.0612,19.6664,245.896235,440,65535,65535
29,26/09/2022 20:40:33517400,36.4048,29.5484,31.11,19.5688,243.119075,439,65535,65535
30,26/09/2022 20:40:34515800,36.356,29.6704,31.1588,19.6176,242.193355,440,65535,65535
31,26/09/2022 20:40:35529800,36.3804,29.6704,31.11,19.6908,243.119075,441,65535,65535
32,26/09/2022 20:40:36528200,36.3804,29.2556,31.1588,19.6664,243.119075,440,65535,65535
33,26/09/2022 20:40:37526600,36.4048,29.1336,31.3052,19.6176,242.193355,444,65535,65535
34,26/09/2022 20:40:38525000,36.4292,29.2556,31.2808,19.6664,241.267635,443,65535,65535
35,26/09/2022 20:40:39523400,36.5268,29.0604,31.2808,19.6664,242.193355,440,65535,65535
36,26/09/2022 20:40:40521800,36.7952,29.1336,31.2808,19.6664,243.119075,440,65535,65535
37,26/09/2022 20:40:41520200,36.966,29.2068,31.4028,19.6664,245.896235,441,65535,65535
38,26/09/2022 20:40:42518600,37.1124,29.2312,31.4028,19.6908,243.119075,437,65535,65535
39,26/09/2022 20:40:43517000,37.3564,29.4752,31.4272,19.6664,243.119075,439,65535,65535
40,26/09/2022 20:40:44531000,37.454,29.6948,31.5248,19.6176,241.267635,440,65535,65535
