,Data,T1,T2,T3,T4,F1,F2,Empty1,Empty2
0,26/09/2022 21:04:47715400,"38,7472","34,77","37,1856","20,0812","237,564755",165,65535,65535
1,26/09/2022 21:04:48698200,"38,796","34,4284","37,2344","20,0812","236,639035",166,65535,65535
2,26/09/2022 21:04:49712200,"38,8936","34,5992","37,1856","20,0812","235,713315",167,65535,65535
3,26/09/2022 21:04:50695000,"38,8936","34,648","37,2344","20,2032","236,639035",166,65535,65535
4,26/09/2022 21:04:51693400,"38,8936","34,5992","37,21","20,13","236,639035",166,65535,65535
5,26/09/2022 21:04:52707400,"38,8692","34,4528","37,2344","20,2032","237,564755",168,65535,65535
6,26/09/2022 21:04:53690200,"38,8692","34,404","37,21","20,0324","237,564755",166,65535,65535
7,26/09/2022 21:04:54704200,"38,8692","34,3552","37,21","20,2032","236,639035",166,65535,65535
8,26/09/2022 21:04:55702600,"38,8936","34,4528","37,21","20,1056","233,861875",165,65535,65535
9,26/09/2022 21:04:56716600,"38,918","34,404","37,2344","20,0812","233,861875",165,65535,65535
10,26/09/2022 21:04:57715000,"38,796","34,3064","37,2344","20,0812","235,713315",165,65535,65535
11,26/09/2022 21:04:58713400,"38,8936","34,4528","37,21","20,0324","233,861875",166,65535,65535
12,26/09/2022 21:05:05655400,"38,8936","35,0384","37,3076","20,0812","192,204475",166,65535,65535
13,26/09/2022 21:05:06685000,"38,8936","35,1604","37,3076","20,13","190,353035",167,65535,65535
14,26/09/2022 21:05:07699000,"38,8692","35,1848","37,3076","20,1056","194,055915",167,65535,65535
15,26/09/2022 21:05:08666200,"38,8936","34,9408","37,332","20,008","191,278755",163,65535,65535
16,26/09/2022 21:05:09680200,"38,8936","34,6968","37,332","20,1056","191,278755",167,65535,65535
17,26/09/2022 21:05:10678600,"38,8448","34,77","37,332","20,1056","191,278755",167,65535,65535
18,26/09/2022 21:05:11677000,"38,8448","34,9164","37,332","20,1544","190,353035",165,65535,65535
19,26/09/2022 21:05:12675400,"38,8936","34,5748","37,3076","20,0324","189,427315",165,65535,65535
20,26/09/2022 21:05:13673800,"38,8448","34,5992","37,332","20,0324","190,353035",162,65535,65535
21,26/09/2022 21:05:14672200,"38,8692","34,77","37,21","20,2032","189,427315",166,65535,65535
22,26/09/2022 21:05:15670600,"38,8936","34,6968","37,2344","20,0812","187,575875",162,65535,65535
23,26/09/2022 21:05:16669000,"38,8692","34,5992","37,2344","20,0812","189,427315",165,65535,65535
24,26/09/2022 21:05:17683000,"38,8936","34,5504","37,2344","20,0324","186,650155",165,65535,65535
25,26/09/2022 21:05:18665800,"38,8692","34,77","37,2344","20,008","187,575875",166,65535,65535
26,26/09/2022 21:05:19679800,"38,796","34,6968","37,088","20,0812","187,575875",165,65535,65535
27,26/09/2022 21:05:20678200,"38,8936","34,5748","37,1368","20,0324","187,575875",168,65535,65535
28,26/09/2022 21:05:26684200,"38,8692","35,1116","37,0148","20,2032","162,581435",166,65535,65535
29,26/09/2022 21:05:27682600,"38,8692","35,1116","37,1368","20,1056","161,655715",166,65535,65535
30,26/09/2022 21:05:28681000,"38,7472","35,0628","37,0148","20,0812","159,804275",167,65535,65535
31,26/09/2022 21:05:29679400,"38,796","34,892","37,0148","20,0324","159,804275",167,65535,65535
32,26/09/2022 21:05:30677800,"38,8936","34,892","37,0148","20,0812","159,804275",166,65535,65535
33,26/09/2022 21:05:31691800,"38,8692","34,7944","37,0148","20,2032","161,655715",166,65535,65535
34,26/09/2022 21:05:32690200,"38,8936","34,8188","36,9416","20,2032","159,804275",165,65535,65535
35,26/09/2022 21:05:33673000,"38,8936","34,8188","36,9904","20,0324","159,804275",165,65535,65535
36,26/09/2022 21:05:34687000,"38,8692","34,892","36,966","20,1056","159,804275",166,65535,65535
37,26/09/2022 21:05:35685400,"38,8692","35,1604","36,8684","20,0324","159,804275",165,65535,65535
38,26/09/2022 21:05:36683800,"38,8936","34,9164","36,8196","20,1056","157,952835",166,65535,65535
39,26/09/2022 21:05:37682200,"38,8448","34,5748","36,8196","20,0324","158,878555",166,65535,65535
40,26/09/2022 21:05:38680600,"38,796","34,5992","36,844","20,13","158,878555",167,65535,65535
41,26/09/2022 21:05:39679000,"38,796","34,2332","36,722","20,1544","159,804275",167,65535,65535
42,26/09/2022 21:05:40677400,"38,796","34,0868","36,7708","20,1544","157,952835",167,65535,65535
43,26/09/2022 21:05:41707000,"38,796","34,2332","36,8196","20,0812","157,952835",165,65535,65535
44,26/09/2022 21:05:47681800,"38,7716","34,4528","36,722","20,0812","135,735555",166,65535,65535
45,26/09/2022 21:05:48711400,"38,796","34,4284","36,6976","20,1056","134,809835",165,65535,65535
