,Data,,T1,T2,T3,T4,F1,F2,Empty1,Empty2
0,21/09/2022 20:26:29890200,,"35,0628","31,0124","31,4028","20,8376","249,599115",111,65535,65535
1,21/09/2022 20:26:30904200,,"35,1116","31,232","31,5492","20,74","250,524835",112,65535,65535
2,21/09/2022 20:26:31902600,,"35,0872","31,476","31,7932","20,8132","250,524835",112,65535,65535
3,21/09/2022 20:26:32916600,,"35,1116","31,598","31,9884","20,74","250,524835",112,65535,65535
4,21/09/2022 20:26:33915000,,"34,9896","31,72","32,1348","20,8376","249,599115",113,65535,65535
5,21/09/2022 20:26:34913400,,"34,9652","31,8176","32,33","20,8132","250,524835",112,65535,65535
6,21/09/2022 20:26:35911800,,"35,014","31,8664","32,452","20,8376","251,450555",113,65535,65535
7,21/09/2022 20:26:36910200,,"35,1116","31,9396","32,5252","20,8132","251,450555",112,65535,65535
8,21/09/2022 20:26:37877400,,"35,0872","31,9396","32,7448","20,8376","247,747675",116,65535,65535
9,21/09/2022 20:26:38875800,,"35,258","32,1104","32,818","20,8376","250,524835",116,65535,65535
10,21/09/2022 20:26:39905400,,"35,4044","32,208","32,8912","20,8376","250,524835",115,65535,65535
11,21/09/2022 20:26:40903800,,"35,4532","32,1592","33,062","20,7888","251,450555",113,65535,65535
12,21/09/2022 20:26:41917800,,"35,5996","32,1592","33,0864","20,8376","250,524835",110,65535,65535
13,21/09/2022 20:26:42916200,,"35,7216","32,1836","33,2084","20,8376","250,524835",110,65535,65535
14,21/09/2022 20:26:43914600,,"35,9168","32,2812","33,2816","20,8132","250,524835",111,65535,65535
15,21/09/2022 20:26:44913000,,"36,1608","32,5008","33,3548","20,8376","251,450555",112,65535,65535
16,21/09/2022 20:26:45911400,,"36,356","32,6228","33,428","20,8376","252,376275",113,65535,65535
17,21/09/2022 20:26:46909800,,"36,4292","32,7448","33,5744","20,8132","254,227715",112,65535,65535
18,21/09/2022 20:26:47877000,,"36,6","32,7692","33,5988","20,8376","247,747675",111,65535,65535
19,21/09/2022 20:26:48875400,,"36,8928","32,6472","33,7696","20,74","246,821955",113,65535,65535
