,Data,,T1,T2,T3,T4,F1,F2,Empty1,Empty2
0,21/09/2022 20:26:29890200,,350.628,310.124,314.028,208.376,249.599.115,111,65535,65535
1,21/09/2022 20:26:30904200,,351.116,31.232,315.492,20.74,250.524.835,112,65535,65535
2,21/09/2022 20:26:31902600,,350.872,31.476,317.932,208.132,250.524.835,112,65535,65535
3,21/09/2022 20:26:32916600,,351.116,31.598,319.884,20.74,250.524.835,112,65535,65535
4,21/09/2022 20:26:33915000,,349.896,31.72,321.348,208.376,249.599.115,113,65535,65535
5,21/09/2022 20:26:34913400,,349.652,318.176,32.33,208.132,250.524.835,112,65535,65535
6,21/09/2022 20:26:35911800,,35.014,318.664,32.452,208.376,251.450.555,113,65535,65535
7,21/09/2022 20:26:36910200,,351.116,319.396,325.252,208.132,251.450.555,112,65535,65535
8,21/09/2022 20:26:37877400,,350.872,319.396,327.448,208.376,247.747.675,116,65535,65535
9,21/09/2022 20:26:38875800,,35.258,321.104,32.818,208.376,250.524.835,116,65535,65535
10,21/09/2022 20:26:39905400,,354.044,32.208,328.912,208.376,250.524.835,115,65535,65535
11,21/09/2022 20:26:40903800,,354.532,321.592,33.062,207.888,251.450.555,113,65535,65535
12,21/09/2022 20:26:41917800,,355.996,321.592,330.864,208.376,250.524.835,110,65535,65535
13,21/09/2022 20:26:42916200,,357.216,321.836,332.084,208.376,250.524.835,110,65535,65535
14,21/09/2022 20:26:43914600,,359.168,322.812,332.816,208.132,250.524.835,111,65535,65535
15,21/09/2022 20:26:44913000,,361.608,325.008,333.548,208.376,251.450.555,112,65535,65535
16,21/09/2022 20:26:45911400,,36.356,326.228,33.428,208.376,252.376.275,113,65535,65535
17,21/09/2022 20:26:46909800,,364.292,327.448,335.744,208.132,254.227.715,112,65535,65535
18,21/09/2022 20:26:47877000,,36.6,327.692,335.988,208.376,247.747.675,111,65535,65535
19,21/09/2022 20:26:48875400,,368.928,326.472,337.696,20.74,246.821.955,113,65535,65535
20,21/09/2022 20:26:49920600,,368.928,327.692,338.672,207.888,246.821.955,112,65535,65535
